id,type,name,alarm,alarm_col,core,node,parent,depth
50,Node,Node.2.17,0,0,2,17,33,3
51,Node,Node.2.18,0,0,2,18,33,3
52,Node,Node.2.19,0,0,2,19,33,3
53,Node,Node.2.20,0,0,2,20,33,3
54,Node,Node.2.21,0,0,2,21,33,3
55,Node,Node.2.22,0,0,2,22,33,3
56,Node,Node.2.23,0,0,2,23,33,3
57,Node,Node.2.24,0,0,2,24,33,3
58,Node,Node.2.25,0,0,2,25,33,3
59,Node,Node.2.26,0,0,2,26,33,3
60,Node,Node.2.27,0,0,2,27,33,3
61,Node,Node.2.28,0,0,2,28,33,3
62,Node,Node.2.29,0,0,2,29,33,3
63,Node,Node.2.30,0,0,2,30,33,3
64,Core,Core.3,1,3,3,,1,2
65,Node,Node.3.1,0,0,3,1,64,3
66,Node,Node.3.2,0,0,3,2,64,3
67,Node,Node.3.3,0,0,3,3,64,3
68,Node,Node.3.4,0,0,3,4,64,3
69,Node,Node.3.5,0,0,3,5,64,3
70,Node,Node.3.6,0,0,3,6,64,3
71,Node,Node.3.7,2,2,3,7,64,3
72,Node,Node.3.8,0,0,3,8,64,3
73,Node,Node.3.9,0,0,3,9,64,3
74,Node,Node.3.10,0,0,3,10,64,3
75,Node,Node.3.11,0,0,3,11,64,3
76,Node,Node.3.12,0,0,3,12,64,3
77,Node,Node.3.13,0,0,3,13,64,3
78,Node,Node.3.14,0,0,3,14,64,3
79,Node,Node.3.15,0,0,3,15,64,3
80,Node,Node.3.16,0,0,3,16,64,3
81,Node,Node.3.17,0,0,3,17,64,3
82,Node,Node.3.18,0,0,3,18,64,3
83,Node,Node.3.19,0,0,3,19,64,3
84,Node,Node.3.20,0,0,3,20,64,3
85,Node,Node.3.21,0,0,3,21,64,3
86,Node,Node.3.22,0,0,3,22,64,3
87,Node,Node.3.23,0,0,3,23,64,3
88,Node,Node.3.24,0,0,3,24,64,3
89,Node,Node.3.25,0,0,3,25,64,3
90,Node,Node.3.26,0,0,3,26,64,3
91,Node,Node.3.27,0,0,3,27,64,3
92,Node,Node.3.28,0,0,3,28,64,3
93,Node,Node.3.29,0,0,3,29,64,3
94,Node,Node.3.30,0,0,3,30,64,3
95,Core,Core.4,0,0,4,,1,2
96,Node,Node.4.1,0,0,4,1,95,3
97,Node,Node.4.2,0,0,4,2,95,3
98,Node,Node.4.3,0,0,4,3,95,3
99,Node,Node.4.4,0,0,4,4,95,3
100,Node,Node.4.5,0,0,4,5,95,3
101,Node,Node.4.6,0,0,4,6,95,3
102,Node,Node.4.7,0,0,4,7,95,3
103,Node,Node.4.8,0,0,4,8,95,3
104,Node,Node.4.9,0,0,4,9,95,3
105,Node,Node.4.10,0,0,4,10,95,3
106,Node,Node.4.11,0,0,4,11,95,3
107,Node,Node.4.12,0,0,4,12,95,3
108,Node,Node.4.13,0,0,4,13,95,3
109,Node,Node.4.14,0,0,4,14,95,3
110,Node,Node.4.15,0,0,4,15,95,3
111,Node,Node.4.16,0,0,4,16,95,3
112,Node,Node.4.17,0,0,4,17,95,3
113,Node,Node.4.18,0,0,4,18,95,3
114,Node,Node.4.19,0,0,4,19,95,3
115,Node,Node.4.20,0,0,4,20,95,3
116,Node,Node.4.21,0,0,4,21,95,3
117,Node,Node.4.22,0,0,4,22,95,3
118,Node,Node.4.23,0,0,4,23,95,3
119,Node,Node.4.24,0,0,4,24,95,3
120,Node,Node.4.25,0,0,4,25,95,3
121,Node,Node.4.26,0,0,4,26,95,3
122,Node,Node.4.27,0,0,4,27,95,3
123,Node,Node.4.28,0,0,4,28,95,3
124,Node,Node.4.29,0,0,4,29,95,3
125,Node,Node.4.30,0,0,4,30,95,3
126,Core,Core.5,0,0,5,,1,2
127,Node,Node.5.1,0,0,5,1,126,3
128,Node,Node.5.2,0,0,5,2,126,3
129,Node,Node.5.3,0,0,5,3,126,3
130,Node,Node.5.4,0,0,5,4,126,3
131,Node,Node.5.5,0,0,5,5,126,3
132,Node,Node.5.6,0,0,5,6,126,3
133,Node,Node.5.7,0,0,5,7,126,3
134,Node,Node.5.8,0,0,5,8,126,3
135,Node,Node.5.9,0,0,5,9,126,3
136,Node,Node.5.10,0,0,5,10,126,3
137,Node,Node.5.11,0,0,5,11,126,3
138,Node,Node.5.12,0,0,5,12,126,3
139,Node,Node.5.13,0,0,5,13,126,3
140,Node,Node.5.14,0,0,5,14,126,3
141,Node,Node.5.15,0,0,5,15,126,3
142,Node,Node.5.16,0,0,5,16,126,3
143,Node,Node.5.17,0,0,5,17,126,3
144,Node,Node.5.18,0,0,5,18,126,3
145,Node,Node.5.19,0,0,5,19,126,3
146,Node,Node.5.20,0,0,5,20,126,3
147,Node,Node.5.21,0,0,5,21,126,3
148,Node,Node.5.22,0,0,5,22,126,3
149,Node,Node.5.23,0,0,5,23,126,3
150,Node,Node.5.24,0,0,5,24,126,3
151,Node,Node.5.25,0,0,5,25,126,3
152,Node,Node.5.26,0,0,5,26,126,3
153,Node,Node.5.27,0,0,5,27,126,3
154,Node,Node.5.28,0,0,5,28,126,3
155,Node,Node.5.29,0,0,5,29,126,3
156,Node,Node.5.30,0,0,5,30,126,3
